QuarterEnd,PPIACO
2025-09-30,262.5025
2025-06-30,259.24133333333333
2025-03-31,258.461
2024-12-31,253.23833333333334
2024-09-30,255.15533333333335
2024-06-30,256.0683333333333
2024-03-31,253.77566666666667
2023-12-31,252.638
2023-09-30,256.8163333333334
2023-06-30,254.81266666666667
2023-03-31,258.6526666666667
2022-12-31,262.03833333333336
2022-09-30,269.906
2022-06-30,272.9373333333333
2022-03-31,253.04233333333332
2021-12-31,241.6966666666667
2021-09-30,233.64766666666665
2021-06-30,223.9
2021-03-31,210.13333333333333
2020-12-31,198.4333333333333
2020-09-30,194.26666666666665
2020-06-30,188.4333333333333
2020-03-31,196.36666666666667
2019-12-31,198.86666666666667
2019-09-30,199.4333333333333
2019-06-30,201.36666666666667
2019-03-31,199.70000000000002
2018-12-31,202.63333333333333
2018-09-30,203.76666666666665
2018-06-30,202.5666666666667
2018-03-31,198.83333333333334
2017-12-31,195.70000000000002
2017-09-30,194.03333333333333
2017-06-30,193.13333333333333
2017-03-31,191.26666666666665
2016-12-31,187.0666666666667
2016-09-30,187.0666666666667
2016-06-30,185.36666666666667
2016-03-31,182.0
2015-12-31,185.5666666666667
2015-09-30,191.63333333333333
2015-06-30,193.03333333333333
2015-03-31,191.53333333333333
2014-12-31,200.4333333333333
2014-09-30,207.13333333333333
2014-06-30,208.20000000000002
2014-03-31,205.5
2013-12-31,201.9
2013-09-30,204.16666666666666
2013-06-30,203.96666666666667
2013-03-31,203.6
2012-12-31,202.26666666666665
2012-09-30,202.4
2012-06-30,201.79999999999998
2012-03-31,202.16666666666666
2011-12-31,200.76666666666665
2011-09-30,203.83333333333334
2011-06-30,203.70000000000002
2011-03-31,195.9
2010-12-31,188.0
2010-09-30,184.63333333333333
2010-06-30,184.23333333333335
2010-03-31,182.0666666666667
2009-12-31,176.9
2009-09-30,173.86666666666667
2009-06-30,171.33333333333334
2009-03-31,169.53333333333333
2008-12-31,178.03333333333333
2008-09-30,200.46666666666667
2008-06-30,196.0
2008-03-31,183.86666666666667
2007-12-31,177.4333333333333
2007-09-30,173.66666666666666
2007-06-30,172.83333333333334
2007-03-31,166.70000000000002
2006-12-31,164.13333333333333
2006-09-30,166.70000000000002
2006-06-30,165.4
2006-03-31,162.76666666666668
2005-12-31,164.29999999999998
2005-09-30,158.70000000000002
2005-06-30,154.53333333333333
2005-03-31,152.06666666666666
2004-12-31,150.53333333333333
2004-09-30,147.70000000000002
2004-06-30,146.26666666666668
2004-03-31,142.20000000000002
2003-12-31,139.23333333333335
2003-09-30,138.06666666666666
2003-06-30,137.16666666666666
2003-03-31,138.03333333333333
2002-12-31,133.06666666666666
2002-09-30,131.66666666666666
2002-06-30,130.83333333333334
2002-03-31,128.9
2001-12-31,129.4
2001-09-30,133.36666666666667
2001-06-30,136.23333333333335
2001-03-31,137.76666666666668
2000-12-31,135.53333333333333
2000-09-30,133.76666666666665
2000-06-30,132.03333333333333
2000-03-31,129.63333333333335
1999-12-31,127.93333333333334
1999-09-30,126.86666666666667
1999-06-30,124.5
1999-03-31,122.60000000000001
1998-12-31,123.46666666666665
1998-09-30,124.3
1998-06-30,124.93333333333334
1998-03-31,125.03333333333335
1997-12-31,127.5
1997-09-30,127.2
1997-06-30,127.2
1997-03-31,128.5
1996-12-31,128.4333333333333
1996-09-30,128.16666666666666
1996-06-30,127.83333333333333
1996-03-31,126.3
1995-12-31,125.46666666666665
1995-09-30,125.2
