QuarterEnd,PCU33123312
2025-09-30,280.03499999999997
2025-06-30,282.10133333333334
2025-03-31,263.685
2024-12-31,262.96566666666666
2024-09-30,265.914
2024-06-30,277.33933333333334
2024-03-31,291.51166666666666
2023-12-31,282.6266666666666
2023-09-30,289.89366666666666
2023-06-30,311.56600000000003
2023-03-31,305.63166666666666
2022-12-31,321.8996666666667
2022-09-30,348.70533333333333
2022-06-30,364.3996666666667
2022-03-31,355.434
2021-12-31,351.6556666666667
2021-09-30,317.324
2021-06-30,264.26666666666665
2021-03-31,223.73333333333335
2020-12-31,198.26666666666665
2020-09-30,189.66666666666666
2020-06-30,193.36666666666667
2020-03-31,197.46666666666667
2019-12-31,197.6
2019-09-30,201.4333333333333
2019-06-30,205.16666666666666
2019-03-31,210.73333333333335
2018-12-31,214.46666666666667
2018-09-30,214.20000000000002
2018-06-30,200.33333333333334
2018-03-31,180.5
2017-12-31,174.80000000000004
2017-09-30,176.0
2017-06-30,176.9
2017-03-31,171.73333333333335
2016-12-31,161.76666666666668
2016-09-30,164.36666666666667
2016-06-30,159.76666666666665
2016-03-31,154.16666666666666
2015-12-31,155.70000000000002
2015-09-30,161.4
2015-06-30,165.1
2015-03-31,174.5
2014-12-31,179.20000000000002
2014-09-30,179.76666666666665
2014-06-30,179.33333333333334
2014-03-31,178.70000000000002
2013-12-31,178.0666666666667
2013-09-30,177.83333333333334
2013-06-30,177.70000000000002
2013-03-31,179.76666666666665
2012-12-31,181.83333333333334
2012-09-30,184.9333333333333
2012-06-30,190.20000000000002
2012-03-31,191.4333333333333
2011-12-31,189.83333333333334
2011-09-30,191.0666666666667
2011-06-30,194.0
2011-03-31,182.66666666666666
2010-12-31,170.53333333333333
2010-09-30,171.9
2010-06-30,171.83333333333334
2010-03-31,161.5
2009-12-31,155.46666666666667
2009-09-30,152.4333333333333
2009-06-30,151.79999999999998
2009-03-31,167.63333333333333
2008-12-31,197.79999999999998
2008-09-30,211.66666666666666
2008-06-30,189.73333333333335
2008-03-31,159.9333333333333
2007-12-31,150.4
2007-09-30,151.5
2007-06-30,152.1
2007-03-31,150.23333333333332
2006-12-31,151.16666666666666
2006-09-30,150.13333333333333
2006-06-30,146.93333333333334
2006-03-31,144.4
2005-12-31,143.70000000000002
2005-09-30,141.9
2005-06-30,148.0666666666667
2005-03-31,151.0666666666667
2004-12-31,148.13333333333333
2004-09-30,144.36666666666667
2004-06-30,131.33333333333334
2004-03-31,108.7
2003-12-31,100.0
