QuarterEnd,Net_sales_millions,COGS_millions,Tons_Shipped
2025-09-30,8521.0,7333.0,6774000.0
2025-06-30,8456.0,7233.0,6820000.0
2025-03-31,7830.0,7225.0,6830000.0
2024-12-31,,,
2024-09-30,7444.16,6686.226,6196000.0
2024-06-30,8077.172,6883.117,6289000.0
2024-03-31,8137.083,6613.903,6224000.0
2023-12-31,,,
2023-09-30,8775.734,6854.934,6240000.0
2023-06-30,9523.256,7021.582,6588000.0
2023-03-31,8709.98,6711.778,6443000.0
2022-12-31,,,
2022-09-30,10500.755,7657.364,6415000.0
2022-06-30,11794.474,7690.211,6977000.0
2022-03-31,10493.282,7035.143,6394000.0
2021-12-31,,,
2021-09-30,10313.223,6906.95,7172000.0
2021-06-30,8789.164,6315.661,7482000.0
2021-03-31,7017.14,5394.703,7176000.0
2020-12-31,,,
2020-09-30,4927.96,4425.765,6367000.0
2020-06-30,4327.306,3949.347,5479000.0
2020-03-31,5624.337,4995.069,7187000.0
2019-12-31,,,
2019-09-30,5464.502,4891.991,6555000.0
2019-06-30,5895.986,5120.492,6724000.0
2019-03-31,6096.624,5200.732,6767000.0
2018-12-31,,,
2018-09-30,6742.202,5452.052,7048000.0
2018-06-30,6460.774,5294.184,7197000.0
2018-03-31,5568.419,4842.013,6967000.0
2017-12-31,,,
2017-09-30,5170.117,4591.153,6618000.0
2017-06-30,5174.769,4465.144,6748000.0
2017-03-31,4815.179,4054.929,6584000.0
2016-12-31,,,
2016-09-30,4290.236,3665.9,5889000.0
2016-06-30,4245.772,3679.512,6457000.0
2016-03-31,3715.576,3428.628,6148000.0
2015-12-31,,,
2015-09-30,4225.514,3701.678,5883000.0
2015-06-30,4357.609,3971.303,6055000.0
2015-03-31,4399.44,4111.158,5635000.0
